NO, URL, DOMAIN
 134,"https://www.tcd.ie/courses/undergraduate/az/course.php?id=DUBJH-MLAN-1JH","www.tcd.ie",
 135,"https://www.umb.edu/academics/cla/modlang","www.umb.edu",
 136,"https://www.amazon.in/Introduction-Scholarship-Modern-Languages-Literatures/dp/0873523857","www.amazon.in",
 137,"https://www.wofford.edu/academics/majors-and-programs/modern-languages","www.wofford.edu",
 138,"https://www.ualberta.ca/modern-languages-and-cultural-studies/index.html","www.ualberta.ca",
 139,"https://www.depts.ttu.edu/classic_modern/","www.depts.ttu.edu",
 140,"https://studyabroad.shiksha.com/uk/universities/university-of-oxford/ba-in-philosophy-and-modern-languages","studyabroad.shiksha.com",
 141,"https://nau.edu/global-languages/undergraduate-programs/bachelors-degrees/modern-languages/","nau.edu",
 142,"https://www.mooc-list.com/tags/foreign-languages","www.mooc-list.com",
 143,"https://www.furman.edu/academics/modern-languages-literatures/","www.furman.edu",
 144,"https://www.mc.edu/academics/departments/modern-languages","www.mc.edu",
 145,"https://cas.umw.edu/modernlanguages/","cas.umw.edu",
 146,"https://www.fairfield.edu/undergraduate/academics/schools-and-colleges/college-of-arts-and-sciences/programs/modern-languages-and-literatures/index.html","www.fairfield.edu",
 147,"https://www.smu.ca/academics/departments/modern-languages-and-classics.html","www.smu.ca",
 148,"https://www.marshall.edu/language/","www.marshall.edu",
 149,"https://econ.gatech.edu/undergraduate/degrees/bs-geml","econ.gatech.edu",
 150,"https://www.goucher.edu/learn/academic-centers/modern-languages-literatures-and-cultures/","www.goucher.edu",
 151,"https://www.surrey.ac.uk/undergraduate/modern-languages-french-and-spanish","www.surrey.ac.uk",
 152,"https://modlang.fsu.edu/","modlang.fsu.edu",
 153,"https://www.auckland.ac.nz/en/arts/study-with-us/study-options/modules/modern-languages.html","www.auckland.ac.nz",
 154,"https://www.mta.ca/mll/","www.mta.ca",
 155,"https://www.union.edu/MLL","www.union.edu",
 156,"https://www.apu.edu/clas/modernlanguages/","www.apu.edu",
 157,"http://web.sonoma.edu/modlang/","web.sonoma.edu",
 158,"https://clas.ucdenver.edu/modLang/","clas.ucdenver.edu",
 159,"https://iml.uq.edu.au/","iml.uq.edu.au",
 160,"http://colfa.utsa.edu/modern-languages/","colfa.utsa.edu",
 161,"https://undergraduate.umbc.edu/major/modern-languages-and-linguistics/","undergraduate.umbc.edu",
 162,"https://mll.case.edu/","mll.case.edu",
 163,"https://langara.ca/departments/modern-languages/index.html","langara.ca",
 164,"https://oakland.edu/languages/","oakland.edu",
 165,"https://www.aubg.edu/modern-languages-and-cultures","www.aubg.edu",
 166,"https://www.routledge.com/Debates-in-Modern-Languages-Education/Driscoll-Macaro-Swarbrick/p/book/9780415658331","www.routledge.com",
 167,"http://www.clemson.edu/degrees/modern-languages","www.clemson.edu",
 168,"https://www.emmanuel.edu/academics/programs-of-study-and-departments/modern-languages.html","www.emmanuel.edu",
 169,"https://www.macmillandictionary.com/dictionary/british/modern-languages","www.macmillandictionary.com",
 170,"https://www.otterbein.edu/modern-languages-cultures/","www.otterbein.edu",
 171,"https://www.msudenver.edu/mdl/","www.msudenver.edu",
 172,"https://chss.rowan.edu/departments/world_languages/mllmajor.html","chss.rowan.edu",
 173,"https://www.stfx.ca/academics/arts/modern-languages","www.stfx.ca",
 174,"https://www.biola.edu/modern-languages-department","www.biola.edu",
 175,"https://www.jstor.org/journal/modernlanguagej","www.jstor.org",
 176,"https://www.keele.ac.uk/study/languagecentre/modernlanguages/","www.keele.ac.uk",
 177,"https://www.gla.ac.uk/schools/mlc/","www.gla.ac.uk",
 178,"https://brill.com/YWML","brill.com",
 179,"https://www.strath.ac.uk/humanities/schoolofhumanities/modernlanguages/","www.strath.ac.uk",
 180,"https://courses.hud.ac.uk/full-time/undergraduate/english-language-with-a-modern-language-ba-hons","courses.hud.ac.uk",
 181,"https://millikin.edu/modernlanguages","millikin.edu",
 182,"http://www.ric.edu/modernlanguages/Pages/default.aspx","www.ric.edu",
 183,"https://www.luc.edu/modernlang/index.shtml","www.luc.edu",
 184,"https://www.cmc.edu/modern-languages","www.cmc.edu",
 185,"https://www.maynoothuniversity.ie/school-modern-languages","www.maynoothuniversity.ie",
 186,"https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-education-modern-languages-education","www.grad.ubc.ca",
 187,"https://www.oldwestbury.edu/departments/languages","www.oldwestbury.edu",
 188,"https://mll.sfsu.edu/","mll.sfsu.edu",
 189,"https://www.cpp.edu/class/english-modern-languages/","www.cpp.edu",
 190,"https://www.advance-he.ac.uk/knowledge-hub/modern-foreign-language-mfl","www.advance-he.ac.uk",
 191,"https://medium.com/better-programming/modern-languages-suck-ad21cbc8a57c","medium.com",
 192,"https://blackburn.edu/current-students/academic-departments/modern-languages/","blackburn.edu",
 193,"https://www.rockvalleycollege.edu/Courses/Subjects/ModernLanguages/index.cfm","www.rockvalleycollege.edu",
 194,"https://www.tougaloo.edu/academics/divisions/humanities/department-english/modern-languages","www.tougaloo.edu",
 195,"https://www.studyinternational.com/news/importance-learning-modern-language-globalized-world/","www.studyinternational.com",
 196,"https://www.independentschoolparent.com/school/the-power-of-modern-languages/","www.independentschoolparent.com",
 197,"http://www.piercecollege.edu/departments/modern_languages/","www.piercecollege.edu",
 198,"https://www.numl.edu.pk/","www.numl.edu.pk",
 199,"https://www.uta.edu/modl/","www.uta.edu",
 200,"https://www.wikiwand.com/en/Modern_language","www.wikiwand.com",
 201,"https://curriehighschool.co.uk/index.php/modern-languages/","curriehighschool.co.uk",
 202,"https://www.npr.org/2012/08/24/159998664/mapping-the-birthplace-of-modern-languages","www.npr.org",
 203,"https://twitter.com/ugs_ml?lang=en","twitter.com",
 204,"https://www.larberthigh.com/departments/modern_languages_/modern_languages_.html","www.larberthigh.com",
 205,"https://www.facebook.com/mla.education/","www.facebook.com",
 206,"https://www.bostonschoolofenglish.com/en/","www.bostonschoolofenglish.com",
 207,"http://www.oakheights.co.uk/modern-foreign-languages-french-and-spanish/","www.oakheights.co.uk",
 208,"https://oriel.w-sussex.sch.uk/curriculum/subjects/modern-foreign-languages/","oriel.w-sussex.sch.uk",
 209,"https://blog.amplexor.com/the-top-10-languages-in-higher-demand-for-business","blog.amplexor.com",
 210,"https://blogs.glowscotland.org.uk/nl/petersburn/modern-languages/","blogs.glowscotland.org.uk",
 211,"http://www.tezu.ernet.in/deng/","www.tezu.ernet.in",
 212,"http://fairfieldmirror.com/news/fate-modern-languages-literatures-magis-core/","fairfieldmirror.com",
 213,"https://www.xjtlu.edu.cn/en/study/departments/school-of-languages/","www.xjtlu.edu.cn",
 214,"https://trinity-pri.com/modern-languages/","trinity-pri.com",
 215,"https://www.ssscs.co.uk/curriculum-intent/modern-foreign-languages/","www.ssscs.co.uk",
 216,"https://www.iblanguages.com/","www.iblanguages.com",
 217,"https://talkinghumanities.blogs.sas.ac.uk/2015/04/23/a-port-for-modern-languages/","talkinghumanities.blogs.sas.ac.uk",
 218,"https://www.parents.com/toddlers-preschoolers/development/language/6-foreign-languages-kids-should-learn/","www.parents.com",
 219,"https://www.duolingo.com/","www.duolingo.com",
 220,"http://www.ku.ac.bd/modern-language-center/people","www.ku.ac.bd",
 221,"http://www.visvabharati.ac.in/BhasaBhavan.html","www.visvabharati.ac.in",
 222,"https://www.northeastern.edu/graduate/blog/most-popular-programming-languages/","www.northeastern.edu",
 223,"http://www.churchsidefederation.norfolk.sch.uk/curriculum-subjects/modern-foreign-languages/","www.churchsidefederation.norfolk.sch.uk",
 224,"https://developer.android.com/kotlin","developer.android.com",
 225,"https://tracktest.eu/english-levels-cefr/","tracktest.eu",
 226,"http://www.digitallanguagelab.com/","www.digitallanguagelab.com",
 227,"https://www.financialexpress.com/industry/technology/google-is-training-computers-to-better-understand-more-indian-languages/2152135/","www.financialexpress.com",
 228,"https://mflrajkot.com/","mflrajkot.com",
 229,"https://english.hi.is/school_of_humanities/faculty_of_foreign_languages/front_page","english.hi.is",
 230,"https://www.indiatoday.in/education-today/featurephilia/story/10-most-popular-programming-languages-you-should-learn-in-2021-1751367-2020-12-20","www.indiatoday.in",
 231,"https://www.internationalrelationsedu.org/2018/05/top-ten-languages-to-learn-as-an-international-affairs-student/","www.internationalrelationsedu.org",
